usage;barcode;posz;posx;posy;name;sizex;sizey;sizez;parent
internal;W00010000;5;550;2600;SlotW00010000;1950;790;790;WH2-STOCK
internal;W00010001;805;550;2600;SlotW00010001;1950;790;790;WH2-STOCK
internal;W00010002;1605;550;2600;SlotW00010002;1950;790;790;WH2-STOCK
internal;W00010003;2405;550;2600;SlotW00010003;1950;790;790;WH2-STOCK
internal;W00020000;5;2550;2600;SlotW00020000;1950;790;790;WH2-STOCK
internal;W00020001;805;2550;2600;SlotW00020001;1950;790;790;WH2-STOCK
internal;W00020002;1605;2550;2600;SlotW00020002;1950;790;790;WH2-STOCK
internal;W00020003;2405;2550;2600;SlotW00020003;1950;790;790;WH2-STOCK
internal;W00030000;5;4550;2600;SlotW00030000;1950;790;790;WH2-STOCK
internal;W00030001;805;4550;2600;SlotW00030001;1950;790;790;WH2-STOCK
internal;W00030002;1605;4550;2600;SlotW00030002;1950;790;790;WH2-STOCK
internal;W00030003;2405;4550;2600;SlotW00030003;1950;790;790;WH2-STOCK
internal;W00040000;5;6550;2600;SlotW00040000;1950;790;790;WH2-STOCK
internal;W00040001;805;6550;2600;SlotW00040001;1950;790;790;WH2-STOCK
internal;W00040002;1605;6550;2600;SlotW00040002;1950;790;790;WH2-STOCK
internal;W00040003;2405;6550;2600;SlotW00040003;1950;790;790;WH2-STOCK
internal;W00050000;5;8550;2600;SlotW00050000;1950;790;790;WH2-STOCK
internal;W00050001;805;8550;2600;SlotW00050001;1950;790;790;WH2-STOCK
internal;W00050002;1605;8550;2600;SlotW00050002;1950;790;790;WH2-STOCK
internal;W00050003;2405;8550;2600;SlotW00050003;1950;790;790;WH2-STOCK
internal;X00010000;5;550;3600;SlotX00010000;1950;790;790;WH2-STOCK
internal;X00010001;805;550;3600;SlotX00010001;1950;790;790;WH2-STOCK
internal;X00010002;1605;550;3600;SlotX00010002;1950;790;790;WH2-STOCK
internal;X00010003;2405;550;3600;SlotX00010003;1950;790;790;WH2-STOCK
internal;X00020000;5;2550;3600;SlotX00020000;1950;790;790;WH2-STOCK
internal;X00020001;805;2550;3600;SlotX00020001;1950;790;790;WH2-STOCK
internal;X00020002;1605;2550;3600;SlotX00020002;1950;790;790;WH2-STOCK
internal;X00020003;2405;2550;3600;SlotX00020003;1950;790;790;WH2-STOCK
internal;X00030000;5;4550;3600;SlotX00030000;1950;790;790;WH2-STOCK
internal;X00030001;805;4550;3600;SlotX00030001;1950;790;790;WH2-STOCK
internal;X00030002;1605;4550;3600;SlotX00030002;1950;790;790;WH2-STOCK
internal;X00030003;2405;4550;3600;SlotX00030003;1950;790;790;WH2-STOCK
internal;X00040000;5;6550;3600;SlotX00040000;1950;790;790;WH2-STOCK
internal;X00040001;805;6550;3600;SlotX00040001;1950;790;790;WH2-STOCK
internal;X00040002;1605;6550;3600;SlotX00040002;1950;790;790;WH2-STOCK
internal;X00040003;2405;6550;3600;SlotX00040003;1950;790;790;WH2-STOCK
internal;X00050000;5;8550;3600;SlotX00050000;1950;790;790;WH2-STOCK
internal;X00050001;805;8550;3600;SlotX00050001;1950;790;790;WH2-STOCK
internal;X00050002;1605;8550;3600;SlotX00050002;1950;790;790;WH2-STOCK
internal;X00050003;2405;8550;3600;SlotX00050003;1950;790;790;WH2-STOCK
internal;Y00010000;5;550;6600;SlotY00010000;1950;790;790;WH2-STOCK
internal;Y00010001;805;550;6600;SlotY00010001;1950;790;790;WH2-STOCK
internal;Y00010002;1605;550;6600;SlotY00010002;1950;790;790;WH2-STOCK
internal;Y00010003;2405;550;6600;SlotY00010003;1950;790;790;WH2-STOCK
internal;Y00020000;5;2550;6600;SlotY00020000;1950;790;790;WH2-STOCK
internal;Y00020001;805;2550;6600;SlotY00020001;1950;790;790;WH2-STOCK
internal;Y00020002;1605;2550;6600;SlotY00020002;1950;790;790;WH2-STOCK
internal;Y00020003;2405;2550;6600;SlotY00020003;1950;790;790;WH2-STOCK
internal;Y00030000;5;4550;6600;SlotY00030000;1950;790;790;WH2-STOCK
internal;Y00030001;805;4550;6600;SlotY00030001;1950;790;790;WH2-STOCK
internal;Y00030002;1605;4550;6600;SlotY00030002;1950;790;790;WH2-STOCK
internal;Y00030003;2405;4550;6600;SlotY00030003;1950;790;790;WH2-STOCK
internal;Y00040000;5;6550;6600;SlotY00040000;1950;790;790;WH2-STOCK
internal;Y00040001;805;6550;6600;SlotY00040001;1950;790;790;WH2-STOCK
internal;Y00040002;1605;6550;6600;SlotY00040002;1950;790;790;WH2-STOCK
internal;Y00040003;2405;6550;6600;SlotY00040003;1950;790;790;WH2-STOCK
internal;Y00050000;5;8550;6600;SlotY00050000;1950;790;790;WH2-STOCK
internal;Y00050001;805;8550;6600;SlotY00050001;1950;790;790;WH2-STOCK
internal;Y00050002;1605;8550;6600;SlotY00050002;1950;790;790;WH2-STOCK
internal;Y00050003;2405;8550;6600;SlotY00050003;1950;790;790;WH2-STOCK
internal;Z00010000;5;550;7600;SlotZ00010000;1950;790;790;WH2-STOCK
internal;Z00010001;805;550;7600;SlotZ00010001;1950;790;790;WH2-STOCK
internal;Z00010002;1605;550;7600;SlotZ00010002;1950;790;790;WH2-STOCK
internal;Z00010003;2405;550;7600;SlotZ00010003;1950;790;790;WH2-STOCK
internal;Z00020000;5;2550;7600;SlotZ00020000;1950;790;790;WH2-STOCK
internal;Z00020001;805;2550;7600;SlotZ00020001;1950;790;790;WH2-STOCK
internal;Z00020002;1605;2550;7600;SlotZ00020002;1950;790;790;WH2-STOCK
internal;Z00020003;2405;2550;7600;SlotZ00020003;1950;790;790;WH2-STOCK
internal;Z00030000;5;4550;7600;SlotZ00030000;1950;790;790;WH2-STOCK
internal;Z00030001;805;4550;7600;SlotZ00030001;1950;790;790;WH2-STOCK
internal;Z00030002;1605;4550;7600;SlotZ00030002;1950;790;790;WH2-STOCK
internal;Z00030003;2405;4550;7600;SlotZ00030003;1950;790;790;WH2-STOCK
internal;Z00040000;5;6550;7600;SlotZ00040000;1950;790;790;WH2-STOCK
internal;Z00040001;805;6550;7600;SlotZ00040001;1950;790;790;WH2-STOCK
internal;Z00040002;1605;6550;7600;SlotZ00040002;1950;790;790;WH2-STOCK
internal;Z00040003;2405;6550;7600;SlotZ00040003;1950;790;790;WH2-STOCK
internal;Z00050000;5;8550;7600;SlotZ00050000;1950;790;790;WH2-STOCK
internal;Z00050001;805;8550;7600;SlotZ00050001;1950;790;790;WH2-STOCK
internal;Z00050002;1605;8550;7600;SlotZ00050002;1950;790;790;WH2-STOCK
internal;Z00050003;2405;8550;7600;SlotZ00050003;1950;790;790;WH2-STOCK
